2026-06-11 16:15:02.716 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGK3:00000003, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline finished'
2026-06-11 16:15:02.718 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGK1:00000003, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline finished'
2026-06-11 16:17:11.382 +05:30 [INF] ApiGateway | Starting API Gateway...
2026-06-11 16:17:15.442 +05:30 [INF] ApiGateway | API Gateway started successfully on port 5000
2026-06-11 16:17:19.017 +05:30 [INF] ApiGateway | Now listening on: http://localhost:5000
2026-06-11 16:17:19.835 +05:30 [INF] ApiGateway | Application started. Press Ctrl+C to shut down.
2026-06-11 16:17:19.989 +05:30 [INF] ApiGateway | Hosting environment: Development
2026-06-11 16:17:20.064 +05:30 [INF] ApiGateway | Content root path: C:\Users\2492212\OneDrive - Cognizant\Desktop\sddr\fincl\ApiGateway
2026-06-11 16:29:05.974 +05:30 [DBG] ApiGateway | requestId: 0HNM7L1Q8JJCQ:00000002, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline started'
2026-06-11 16:29:05.986 +05:30 [DBG] ApiGateway | requestId: 0HNM7L1Q8JJCQ:00000002, previousRequestId: No PreviousRequestId, message: 'Upstream url path is /api/Auth/login'
2026-06-11 16:29:06.021 +05:30 [DBG] ApiGateway | requestId: 0HNM7L1Q8JJCQ:00000002, previousRequestId: No PreviousRequestId, message: 'downstream templates are /api/auth/{everything}'
2026-06-11 16:29:06.049 +05:30 [INF] ApiGateway | requestId: 0HNM7L1Q8JJCQ:00000002, previousRequestId: No PreviousRequestId, message: 'EndpointRateLimiting is not enabled for /api/auth/{everything}'
2026-06-11 16:29:06.055 +05:30 [INF] ApiGateway | requestId: 0HNM7L1Q8JJCQ:00000002, previousRequestId: No PreviousRequestId, message: 'No authentication needed for path '/api/Auth/login'.'
2026-06-11 16:29:06.064 +05:30 [INF] ApiGateway | requestId: 0HNM7L1Q8JJCQ:00000002, previousRequestId: No PreviousRequestId, message: '/api/auth/{everything} route does not require user to be authorized'
2026-06-11 16:29:06.082 +05:30 [DBG] ApiGateway | requestId: 0HNM7L1Q8JJCQ:00000002, previousRequestId: No PreviousRequestId, message: 'Downstream url is http://localhost:5001/api/auth/login'
